timestamp,co2_ppm,temperatura_c,humedad_pct
2025-06-14T02:41:20.047837,1872.0,22.7,29.4
2025-06-14T02:41:25.065480,1684.0,22.7,29.2
2025-06-14T02:41:32.516184,0.0,22.7,29.0
2025-06-14T02:41:37.538010,1029.0,22.7,28.9
2025-06-14T02:41:42.559676,1004.0,22.7,28.8
2025-06-14T02:41:47.576582,917.0,22.7,28.7
2025-06-14T02:41:52.594630,908.0,22.6,28.5
2025-06-14T02:41:57.611865,917.0,22.6,28.4
2025-06-14T02:42:02.633607,918.0,22.6,28.4
2025-06-14T02:42:07.651424,910.0,22.6,28.3
2025-06-14T02:42:12.669557,912.0,22.6,28.2
2025-06-14T02:42:17.691264,918.0,22.6,28.2
2025-06-14T02:42:27.713755,923.0,22.6,28.1
2025-06-14T02:42:32.731941,926.0,22.6,28.1
2025-06-14T02:42:37.749679,926.0,22.6,28.0
2025-06-14T02:42:42.770931,924.0,22.6,28.0
2025-06-14T02:42:47.788328,925.0,22.6,27.9
2025-06-14T02:42:52.806459,924.0,22.6,27.9
2025-06-14T02:42:57.823942,923.0,22.6,27.8
2025-06-14T02:43:02.841899,928.0,22.6,27.7
2025-06-14T02:43:07.862877,926.0,22.6,27.7
2025-06-14T02:43:12.881305,925.0,22.6,27.6
2025-06-14T02:43:17.897990,926.0,22.7,27.6
2025-06-14T02:43:22.920368,925.0,22.6,27.5
2025-06-14T02:43:27.938168,924.0,22.6,27.5
2025-06-14T02:43:32.955847,928.0,22.7,27.5
2025-06-14T02:43:37.976761,933.0,22.7,27.4
2025-06-14T02:43:42.995055,932.0,22.7,27.4
2025-06-14T02:43:48.012009,932.0,22.7,27.3
2025-06-14T02:43:53.034379,934.0,22.6,27.3
2025-06-14T02:43:58.051550,933.0,22.7,27.2
2025-06-14T02:44:03.069302,934.0,22.7,27.2
2025-06-14T02:44:08.087070,935.0,22.7,27.1
2025-06-14T02:44:13.108713,937.0,22.7,27.0
2025-06-14T02:44:18.126762,938.0,22.7,27.0
2025-06-14T02:44:23.144314,940.0,22.7,26.9
2025-06-14T02:44:28.166066,939.0,22.7,26.9
2025-06-14T02:44:33.183531,937.0,22.7,26.8
2025-06-14T02:44:38.201147,935.0,22.7,26.8
2025-06-14T02:44:43.222504,933.0,22.7,26.8
2025-06-14T02:44:48.240665,933.0,22.7,26.8
2025-06-14T02:44:53.258369,934.0,22.7,26.7
2025-06-14T02:44:58.279626,937.0,22.7,26.7
2025-06-14T02:45:03.297035,937.0,22.7,26.7
2025-06-14T02:45:08.314843,936.0,22.7,26.6
2025-06-14T02:45:13.337052,935.0,22.7,26.6
2025-06-14T02:45:18.354435,933.0,22.7,26.5
2025-06-14T02:45:28.381429,933.0,22.7,26.5
2025-06-14T02:45:33.399326,931.0,22.7,26.5
2025-06-14T02:45:38.416701,932.0,22.7,26.5
2025-06-14T02:45:43.433795,935.0,22.7,26.6
2025-06-14T02:45:48.451900,937.0,22.7,26.5
2025-06-14T02:45:53.469953,943.0,22.7,26.5
2025-06-14T02:45:58.491135,952.0,22.7,26.5
2025-06-14T02:46:03.508447,961.0,22.6,26.4
2025-06-14T02:46:08.530538,1009.0,22.7,27.0
2025-06-14T02:46:13.547782,1135.0,22.6,26.9
2025-06-14T02:46:18.569567,1287.0,22.7,26.7
2025-06-14T02:46:23.587889,1230.0,22.7,26.5
2025-06-14T02:46:28.605545,1174.0,22.7,26.5
2025-06-14T02:46:33.626587,1136.0,22.7,26.4
2025-06-14T02:46:38.644467,1103.0,22.7,26.4
2025-06-14T02:46:43.662587,1044.0,22.7,26.3
2025-06-14T02:46:48.679881,953.0,22.7,26.2
2025-06-14T02:46:53.701866,923.0,22.7,26.1
2025-06-14T02:46:58.719520,943.0,22.7,26.1
2025-06-14T02:47:03.736632,938.0,22.7,26.1
2025-06-14T02:47:08.757977,934.0,22.7,26.1
2025-06-14T02:47:13.776405,944.0,22.7,26.1
2025-06-14T02:47:18.794282,946.0,22.7,26.1
2025-06-14T02:47:23.815660,950.0,22.7,26.1
2025-06-14T02:47:28.833518,947.0,22.7,26.0
2025-06-14T02:47:33.850716,941.0,22.7,26.0
2025-06-14T02:47:38.872863,936.0,22.7,25.9
2025-06-14T02:47:43.890185,933.0,22.6,25.9
2025-06-14T02:47:48.907528,926.0,22.6,25.9
2025-06-14T02:47:53.924992,925.0,22.7,25.8
2025-06-14T02:47:58.947427,925.0,22.6,25.8
2025-06-14T02:48:03.965120,924.0,22.7,25.8
2025-06-14T02:48:08.982813,926.0,22.7,25.9
2025-06-14T02:48:14.003702,921.0,22.6,25.8
2025-06-14T02:48:19.021208,921.0,22.7,25.8
2025-06-14T02:48:24.039823,925.0,22.6,25.8
2025-06-14T02:48:34.066684,942.0,22.6,26.4
2025-06-14T02:48:39.083935,959.0,22.6,26.3
2025-06-14T02:48:44.101321,977.0,22.6,26.1
2025-06-14T02:48:49.119502,998.0,22.6,26.0
2025-06-14T02:48:54.140858,1003.0,22.6,26.0
2025-06-14T02:48:59.159026,1007.0,22.6,25.9
2025-06-14T02:49:04.176332,1082.0,22.6,26.2
2025-06-14T02:49:09.198385,1252.0,22.6,27.2
2025-06-14T02:49:14.215596,1534.0,22.6,27.2
2025-06-14T02:49:19.233177,1680.0,22.6,26.8
2025-06-14T02:49:24.251291,1624.0,22.6,26.6
2025-06-14T02:49:29.272375,1499.0,22.6,26.4
2025-06-14T02:49:34.290169,1361.0,22.6,26.4
2025-06-14T02:49:39.308040,1198.0,22.6,26.2
2025-06-14T02:49:44.329942,1124.0,22.6,26.2
2025-06-14T02:49:49.346851,1081.0,22.6,26.1
2025-06-14T02:49:54.364577,1039.0,22.6,26.0
2025-06-14T02:49:59.386896,1015.0,22.6,26.0
2025-06-14T02:50:04.404405,1002.0,22.6,26.0
2025-06-14T02:50:09.421540,989.0,22.6,25.9
2025-06-14T02:50:14.439615,990.0,22.6,25.9
2025-06-14T02:50:19.461308,983.0,22.6,25.8
2025-06-14T02:50:24.478608,968.0,22.6,25.8
2025-06-14T02:50:29.496880,965.0,22.6,25.8
2025-06-14T02:50:34.518542,962.0,22.6,25.8
2025-06-14T02:50:39.535632,983.0,22.6,26.3
2025-06-14T02:50:44.557595,1007.0,22.6,26.7
2025-06-14T02:50:49.574914,1027.0,22.6,26.6
2025-06-14T02:50:54.593022,1048.0,22.6,26.3
2025-06-14T02:50:59.614853,1069.0,22.6,26.1
2025-06-14T02:51:04.631634,1063.0,22.6,26.0
2025-06-14T02:51:09.650221,1045.0,22.6,25.9
2025-06-14T02:51:14.671345,1030.0,22.6,25.8
2025-06-14T02:51:19.689523,1011.0,22.5,25.8
2025-06-14T02:51:24.707169,1000.0,22.5,25.7
2025-06-14T02:51:34.733303,987.0,22.5,25.8
2025-06-14T02:51:39.751844,977.0,22.6,25.9
2025-06-14T02:51:44.769279,975.0,22.5,25.8
2025-06-14T02:51:49.787169,970.0,22.6,25.7
2025-06-14T02:51:54.804819,959.0,22.6,25.7
2025-06-14T02:51:59.821839,953.0,22.6,25.7
2025-06-14T02:52:04.839544,951.0,22.6,25.7
2025-06-14T02:52:09.861743,948.0,22.5,25.7
2025-06-14T02:52:14.879201,944.0,22.6,25.7
2025-06-14T02:52:19.896858,938.0,22.6,25.7
2025-06-14T02:52:24.918373,935.0,22.5,25.7
2025-06-14T02:52:29.935621,935.0,22.5,25.6
2025-06-14T02:52:34.953208,935.0,22.6,25.6
2025-06-14T02:52:39.974855,932.0,22.6,25.5
2025-06-14T02:52:44.993363,932.0,22.5,25.5
2025-06-14T02:52:50.010591,931.0,22.5,25.5
2025-06-14T02:52:55.032067,933.0,22.5,25.5
2025-06-14T02:53:00.049530,934.0,22.5,25.5
2025-06-14T02:53:05.067870,932.0,22.5,25.4
2025-06-14T02:53:10.089432,932.0,22.5,25.4
2025-06-14T02:53:15.106948,930.0,22.5,25.4
2025-06-14T02:53:20.124341,931.0,22.5,25.4
2025-06-14T02:53:25.146857,932.0,22.5,25.4
2025-06-14T02:53:30.163799,934.0,22.5,25.5
2025-06-14T02:53:35.182182,935.0,22.5,25.4
2025-06-14T02:53:40.199655,938.0,22.5,25.6
2025-06-14T02:53:45.220912,938.0,22.5,25.6
2025-06-14T02:53:50.238874,939.0,22.5,25.6
2025-06-14T02:53:55.256312,942.0,22.5,25.5
2025-06-14T02:54:00.277838,941.0,22.5,25.5
2025-06-14T02:54:05.296406,941.0,22.5,25.5
2025-06-14T02:54:10.313590,940.0,22.5,25.5
2025-06-14T02:54:15.335366,939.0,22.5,25.4
2025-06-14T02:54:20.353368,941.0,22.5,25.5
2025-06-14T02:54:25.371141,943.0,22.5,25.5
2025-06-14T02:54:35.397398,945.0,22.5,25.6
2025-06-14T02:54:40.415862,948.0,22.5,25.5
2025-06-14T02:54:45.433371,949.0,22.5,25.4
2025-06-14T02:54:50.451107,947.0,22.4,25.4
2025-06-14T02:54:55.468774,948.0,22.4,25.4
2025-06-14T02:55:00.489919,945.0,22.4,25.4
2025-06-14T02:55:05.507618,944.0,22.4,25.3
2025-06-14T02:55:10.525760,941.0,22.4,25.3
2025-06-14T02:55:15.543483,939.0,22.4,25.3
2025-06-14T02:55:20.564649,938.0,22.4,25.3
2025-06-14T02:55:25.582798,937.0,22.4,25.3
2025-06-14T02:55:30.600540,933.0,22.4,25.2
2025-06-14T02:55:35.621873,932.0,22.4,25.3
2025-06-14T02:55:40.639828,930.0,22.4,25.3
2025-06-14T02:55:45.657946,930.0,22.4,25.3
2025-06-14T02:55:50.678734,930.0,22.4,25.2
2025-06-14T02:55:55.696307,929.0,22.4,25.2
2025-06-14T02:56:00.713920,929.0,22.4,25.3
2025-06-14T02:56:05.735912,927.0,22.4,25.3
2025-06-14T02:56:10.754061,928.0,22.4,25.3
2025-06-14T02:56:15.771096,927.0,22.4,25.2
2025-06-14T02:56:20.792581,924.0,22.4,25.2
2025-06-14T02:56:25.811083,922.0,22.4,25.2
2025-06-14T02:56:30.828346,921.0,22.4,25.2
2025-06-14T02:56:35.845666,919.0,22.4,25.1
2025-06-14T02:56:40.867836,917.0,22.4,25.1
2025-06-14T02:56:45.885549,917.0,22.4,25.1
2025-06-14T02:56:50.903502,916.0,22.4,25.1
2025-06-14T02:56:55.924930,915.0,22.3,25.1
2025-06-14T02:57:00.942760,912.0,22.4,25.1
2025-06-14T02:57:05.960535,914.0,22.4,25.0
2025-06-14T02:57:10.981723,914.0,22.4,25.1
2025-06-14T02:57:15.999562,915.0,22.3,25.1
2025-06-14T02:57:21.017460,916.0,22.3,25.1
2025-06-14T02:57:26.038406,917.0,22.3,25.1
2025-06-14T02:57:31.057085,919.0,22.3,25.1
2025-06-14T02:57:41.083856,918.0,22.3,25.1
2025-06-14T02:57:46.100958,916.0,22.3,25.1
2025-06-14T02:57:51.119438,918.0,22.3,25.1
2025-06-14T02:57:56.136729,917.0,22.3,25.1
2025-06-14T02:58:01.154181,917.0,22.3,25.1
2025-06-14T02:58:06.171991,918.0,22.3,25.1
2025-06-14T02:58:11.190116,919.0,22.3,25.1
2025-06-14T02:58:16.211809,919.0,22.3,25.0
2025-06-14T02:58:21.229398,918.0,22.3,25.0
2025-06-14T02:58:26.247103,918.0,22.3,25.0
2025-06-14T02:58:31.268505,916.0,22.3,25.0
2025-06-14T02:58:36.286155,914.0,22.2,24.9
2025-06-14T02:58:41.304088,910.0,22.2,24.9
2025-06-14T02:58:46.325845,909.0,22.2,24.8
2025-06-14T02:58:51.342713,908.0,22.3,24.9
2025-06-14T02:58:56.361262,907.0,22.2,24.9
2025-06-14T02:59:01.382814,907.0,22.2,24.9
2025-06-14T02:59:06.400598,907.0,22.2,24.9
2025-06-14T02:59:11.418161,906.0,22.2,24.9
2025-06-14T02:59:16.435758,905.0,22.2,24.8
2025-06-14T02:59:21.457192,906.0,22.2,24.9
2025-06-14T02:59:26.475394,906.0,22.2,24.9
2025-06-14T02:59:31.492833,908.0,22.2,24.9
2025-06-14T02:59:36.514037,909.0,22.2,24.9
2025-06-14T02:59:41.532166,908.0,22.2,24.9
2025-06-14T02:59:46.550022,908.0,22.2,25.0
2025-06-14T02:59:51.571583,907.0,22.2,24.9
2025-06-14T02:59:56.588989,908.0,22.2,24.9
